state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
GU,4242,3326,4,4,0,0,2022,3,M,M3
GU,1372,1121,4,4,0,0,2022,4,M,M4
GU,1561,1227,4,4,0,0,2022,5,M,M5
GU,4538,3428,4,2,0,0,2022,6,M,M6
GU,5953,4566,6,6,0,0,2022,7,M,M7
GU,3862,3036,1,1,0,0,2022,8,M,M8
GU,444,364,2,2,0,0,2022,9,M,M9
GU,237,172,0,0,0,0,2022,10,M,M10
GU,422,325,0,0,0,0,2022,11,M,M11
GU,290,280,0,0,0,0,2022,12,M,M12
GU,270,256,0,0,0,0,2023,1,M,M1
GU,41,38,0,0,0,0,2023,2,M,M2
HI,20,16,0,0,0,0,2020,2,M,M2
HI,449,415,0,0,0,0,2020,3,M,M3
HI,735,704,0,0,0,0,2020,4,M,M4
HI,227,214,0,0,0,0,2020,5,M,M5
HI,554,534,0,0,0,0,2020,6,M,M6
HI,1900,1841,4,4,0,0,2020,7,M,M7
HI,7588,7374,0,0,0,0,2020,8,M,M8
HI,14536,14215,0,0,0,0,2020,9,M,M9
HI,3551,3416,0,0,0,0,2020,10,M,M10
HI,7918,7788,0,0,0,0,2020,11,M,M11
HI,2428,2309,0,0,0,0,2020,12,M,M12
HI,8092,7422,0,0,0,0,2021,1,M,M1
HI,2774,2587,0,0,0,0,2021,2,M,M2
HI,2162,1886,0,0,0,0,2021,3,M,M3
HI,2254,1996,0,0,0,0,2021,4,M,M4
HI,1898,1742,0,0,0,0,2021,5,M,M5
HI,1615,1478,0,0,0,0,2021,6,M,M6
HI,11516,10750,0,0,0,0,2021,7,M,M7
HI,28716,26298,0,0,0,0,2021,8,M,M8
HI,10865,9906,2,2,0,0,2021,9,M,M9
HI,7197,6231,0,0,0,0,2021,10,M,M10
HI,3670,3135,0,0,0,0,2021,11,M,M11
HI,12338,10062,0,0,0,0,2021,12,M,M12
HI,39008,33140,3,3,0,0,2022,1,M,M1
HI,39628,32099,0,0,0,0,2022,2,M,M2
HI,61637,53834,2,2,0,0,2022,3,M,M3
HI,19656,16493,0,0,0,0,2022,4,M,M4
HI,21530,16962,1,1,0,0,2022,5,M,M5
HI,29291,24059,2,0,0,0,2022,6,M,M6
HI,17550,14728,0,0,0,0,2022,7,M,M7
HI,8132,6987,0,0,0,0,2022,8,M,M8
HI,2851,2399,0,0,0,0,2022,9,M,M9
HI,36841,27521,0,0,0,0,2022,10,M,M10
HI,94489,83183,0,0,0,0,2022,11,M,M11
HI,2620,2311,0,0,0,0,2022,12,M,M12
HI,1214,1051,0,0,0,0,2023,1,M,M1
HI,541,476,0,0,0,0,2023,2,M,M2
IA,212,174,4,4,0,0,2020,1,M,M1
IA,58,52,4,4,0,0,2020,2,M,M2
IA,4790,4152,570,568,0,0,2020,3,M,M3
IA,30628,28118,2002,1986,356,348,2020,4,M,M4
IA,50364,44346,1984,1954,394,376,2020,5,M,M5
IA,60359,51573,1234,1208,270,234,2020,6,M,M6
IA,69311,60549,1204,1174,170,162,2020,7,M,M7
