State,Year,Period,Pandemic_10
OK,2021,M06,97
OK,2021,M07,97
OK,2021,M08,327
OK,2021,M09,1137
OK,2021,M10,1761
OK,2021,M11,1203
OK,2021,M12,506
OK,2022,M01,914
OK,2022,M02,1279
OK,2022,M03,908
OK,2022,M04,377
OK,2022,M05,193
OK,2022,M06,-649
OK,2022,M07,811
OK,2022,M08,392
OK,2022,M09,262
OK,2022,M10,0
OR,2020,M01,0
OR,2020,M02,0
OR,2020,M03,18
OR,2020,M04,85
OR,2020,M05,50
OR,2020,M06,54
OR,2020,M07,115
OR,2020,M08,137
OR,2020,M09,100
OR,2020,M10,130
OR,2020,M11,223
OR,2020,M12,565
OR,2021,M01,480
OR,2021,M02,251
OR,2021,M03,175
OR,2021,M04,112
OR,2021,M05,176
OR,2021,M06,103
OR,2021,M07,84
OR,2021,M08,340
OR,2021,M09,593
OR,2021,M10,581
OR,2021,M11,789
OR,2021,M12,494
OR,2022,M01,445
OR,2022,M02,522
OR,2022,M03,522
OR,2022,M04,358
OR,2022,M05,133
OR,2022,M06,178
OR,2022,M07,288
OR,2022,M08,311
OR,2022,M09,149
OR,2022,M10,0
PA,2020,M01,0
PA,2020,M02,0
PA,2020,M03,63
PA,2020,M04,2466
PA,2020,M05,3044
PA,2020,M06,1089
PA,2020,M07,547
PA,2020,M08,454
PA,2020,M09,470
PA,2020,M10,665
PA,2020,M11,1559
PA,2020,M12,5673
PA,2021,M01,5626
